2026-09-22 15:18:57.029940572 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer ConvActivationFusion on step 1.
2026-09-22 15:18:57.029942812 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer ConvActivationFusion modified: 0 with status: OK
2026-09-22 15:18:57.029946240 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer GeluFusionL2 on step 1.
2026-09-22 15:18:57.029949868 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer GeluFusionL2 modified: 0 with status: OK
2026-09-22 15:18:57.029952584 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer LayerNormFusionL2 on step 1.
2026-09-22 15:18:57.029954866 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer LayerNormFusionL2 modified: 0 with status: OK
2026-09-22 15:18:57.029957264 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer SimplifiedLayerNormFusion on step 1.
2026-09-22 15:18:57.029959726 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer SimplifiedLayerNormFusion modified: 0 with status: OK
2026-09-22 15:18:57.029961714 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer AttentionFusion on step 1.
2026-09-22 15:18:57.029967233 [V:onnxruntime:, attention_fusion.cc:333 operator()] MobileClipMHA[]: fusion skipped: qkv MatMul output count or weight initializer check failed
2026-09-22 15:18:57.029969950 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer AttentionFusion modified: 0 with status: OK
2026-09-22 15:18:57.029972472 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer EmbedLayerNormFusion on step 1.
2026-09-22 15:18:57.029975883 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer EmbedLayerNormFusion modified: 0 with status: OK
