seconds,pid,gpu_memory_mib
59.565,273823,9580.0
59.815,273823,9580.0
60.066,273823,9580.0
60.317,273823,9580.0
60.569,273823,9580.0
60.82,273823,9580.0
61.071,273823,9580.0
61.323,273823,9580.0
61.574,273823,9580.0
61.825,273823,9580.0
62.077,273823,9580.0
62.328,273823,9580.0
62.578,273823,9580.0
62.829,273823,9580.0
63.08,273823,9580.0
63.331,273823,9580.0
63.582,273823,9580.0
63.832,273823,9580.0
64.084,273823,9580.0
64.335,273823,9580.0
64.586,273823,9580.0
64.837,273823,9580.0
65.088,273823,9580.0
65.34,273823,9580.0
65.591,273823,9580.0
65.842,273823,9580.0
66.093,273823,9580.0
66.344,273823,9580.0
66.596,273823,9580.0
66.847,273823,9580.0
67.098,273823,9580.0
67.349,273823,9580.0
67.602,273823,9580.0
67.854,273823,9580.0
68.105,273823,9580.0
68.356,273823,9580.0
68.607,273823,9580.0
68.858,273823,9580.0
69.109,273823,9580.0
69.36,273823,9580.0
69.611,273823,9580.0
69.863,273823,9580.0
70.114,273823,9580.0
70.365,273823,9580.0
70.616,273823,9580.0
70.867,273823,9580.0
71.118,273823,9580.0
71.369,273823,9580.0
71.62,273823,9580.0
71.87,273823,9580.0
72.121,273823,9580.0
72.373,273823,9580.0
72.624,273823,9580.0
72.875,273823,9580.0
73.126,273823,9580.0
73.376,273823,9580.0
73.627,273823,9580.0
73.878,273823,9580.0
74.129,273823,9580.0
74.38,273823,9580.0
74.631,273823,9580.0
74.882,273823,9580.0
75.133,273823,9580.0
75.384,273823,9580.0
75.634,273823,9580.0
75.885,273823,9580.0
76.136,273823,9580.0
76.388,273823,9580.0
76.64,273823,9580.0
76.892,273823,9580.0
77.143,273823,9580.0
77.394,273823,9580.0
77.645,273823,9580.0
77.896,273823,9580.0
78.147,273823,9580.0
78.399,273823,9580.0
78.65,273823,9580.0
78.901,273823,9580.0
79.152,273823,9580.0
79.403,273823,9580.0
79.654,273823,9580.0
79.906,273823,9580.0
80.157,273823,9580.0
80.408,273823,9580.0
80.659,273823,9580.0
80.909,273823,9580.0
81.16,273823,9580.0
81.412,273823,9580.0
81.663,273823,9580.0
81.913,273823,9580.0
82.164,273823,9580.0
82.415,273823,9580.0
82.666,273823,9580.0
82.917,273823,9580.0
83.168,273823,9580.0
83.419,273823,9580.0
83.67,273823,9580.0
83.921,273823,9580.0
84.172,273823,9580.0
84.423,273823,9580.0
84.674,273823,9580.0
84.925,273823,336.0
